id,name,description,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
190,healthcare innovation design,deze module richt zich op productontwerpvraagstukken binnen zorg en welzijn wil je design thinking design sprints en maker skills leren en toepassen in ontwerpvragen in zorg en welzijn dan ben je welkom bij de minor healthcare innovation design in weken ontwerpen we in cocreatie met bedrijven designers en zorg en welzijnsinstellingen tastbare en testbare creatieve producten en diensten productontwerpvraagstukken binnen zorg en welzijn,30,['Breda'],67,NLQF6,,zorg welzijn productontwerp,0.41,0.748,4,47,2025-09-22
191,de kracht van de kunsten,leren van kunst niet over kunst door te doen door met mensen in contact te zijn impact maken geraakt worden groeien als persoon en professioneel leren artistiek onderzoek te doen achter de schermen kijken in het theater art based learning met beelden musiceren en of een film maken spelen drama lezen en zelf schrijven koppelen aan je toekomstige werk met dementerenden jongeren kinderen leren van kunst niet over kunst door te doen door met mensen in contact te zijn impact maken geraakt worden groeien als persoon en professioneel leren artistiek onderzoek te doen daar gaan we voor in deze module achter de schermen kijken in het theater art based learning met beelden musiceren en of een film maken spelen drama lezen en zelf schrijven koppelen aan je toekomstige werk met dementerenden jongeren kinderen tijd nemen om te ontdekken tijd om te verbeelden tijd om te spelen,30,['Breda'],68,NLQF6,,beeldende kunst muziek drama literatuur digitale media persoonlijke en professionele identiteit art based learning,0.34,0.12,2,72,2025-09-21
192,bewegingsonderwijs,tijdens de minor bewegingsonderwijs behaalt de student de bevoegdheid tot het geven van de lessen bewegingsonderwijs aan de groepen tm van de basisschool,30,['Breda'],69,NLQF6,,bewegingsonderwijs basisschool,0.92,0.894,2,27,2025-11-09
193,gedrag,de minor gedrag bestaat uit gastlessen bv orthopedagogiek trainingen sterk staan en stage in het speciaal basisonderwijs waar het gedrag van de leerlingen impact heeft op het handelen van de leerkracht de verbinding van lesgeefpraktijk op de stageschool en aangeboden kennis en vaardigheid op de pabo staan daarbij voorop,30,['Breda'],70,NLQF6,,,0.93,0.546,3,77,2025-09-01
194,teaching english abroad,deze internationale module bestaat uit twee delen in het eerste deel gaan studenten van avans en vanuit onze internationale partners in multidisciplinaire setting aan de slag om te leren over verschillende schoolsytemen curricula didactiek kunstvakken en een kennismakingsstage deel staat in teken van stage lopen en praktijkonderzoek doen teaching english abroad,30,['Breda'],68,NLQF6,,,0.83,0.584,2,47,2025-09-05
195,stevig staan in de jeugdzorg,het gehele jeugdhulpwerkveld van de jeugdzorg wordt hier behandeld met bijbehorende competenties dit is een verplichte minor voor profiel zorg en welzijn samenleving als zij in de jeugdhulp willen werken de minor is ontwikkeld met het werkveld,30,['Breda'],71,NLQF6,,jeugd zorg welzijn samenleving,0.5,0.072,1,55,2025-12-14
196,ggz agoog,het werkveld van de ggz staat hier centraal deze minor is verplicht om een ggz registratie te halen binnen profiel zorg in dit profiel gaat het oa om het optimaal sociaal functioneren van mensen met een verstandelijke beperking of psychische kwetsbaarheid hun aandoeningen en beperkingen worden herkend en waar nodig worden zij ondersteund het werkveld van de ggz staat hier centraal deze minor is verplicht om een ggz registratie te halen binnen profiel zorg,30,['Breda'],72,NLQF6,,ggz,0.36,0.47,5,45,2025-09-12
197,werken in gedwongen kader,de minor wigk bereidt studenten voor op het werken met mensen volwassenen jongeren die grensoverschrijdend gedrag vertonen dat schadelijk is voor hen zelf en voor hun omgeving probleemgedrag gaat vaak gepaard met soms ernstige sociale emotionele materiële problemen en bereikt een niveau dat justitieel ingrijpen noodzakelijk wordt de minor heeft een eigen landelijk profiel er wordt samengewerkt met het werkveld op basis van het landelijk curriculum,30,['Breda'],73,NLQF6,,,0.74,0.572,5,27,2025-11-29
198,minor verschil maken,een minor open voor sociale opleidingen waarin de vraag centraal staat hoe de professional binnen zijn praktijk verschil maakt door presentie en schematheorie filosofie en een exposure wordt de basis gelegd voor zelfkennis zelfbewustzijn en praktische wijsheid om een maatschappelijke droom te verwezenlijken,30,['Breda'],74,NLQF6,,welzijn samenleving professional,0.59,0.59,4,77,2025-10-16
199,acuut complexe zorg,in de minor acz ga je je verdiepen in een aantal acute en complexe casussen in deze casuïstiek staan diverse specialismen centraal het interessante van de minor acz is dat je jezelf aan de hand van deze casuïstiek verdiept in de klinische zorg acuut complexe zorg verdiepende minor gericht op verpleegkunde studenten,30,['Breda'],75,NLQF6,,zorg welzijn acute zorg,0.38,0.212,2,79,2025-10-04
200,kind kraam jeugd,binnen de minor kraam kind jeugd kkj staat de zorg aan zwangeren kraamvrouwen en kinderen van jaar met hun ouders centraal het is een verdiepende minor waarin onderwerpen aan bod komen vanuit de expertisegebieden van de kinderverpleegkundige de obstetrieverpleegkundige en de jeugdverpleegkundige doel van de minor is het ontwikkelen van een generieke blik op het kind en diens systeem kraam kind en jeugdigen verdiepende minor gericht op verpleegkunde studenten,30,['Breda'],76,NLQF6,,jeugd welzijn,0.62,0.586,1,69,2025-10-19
201,positieve psychiatrie,de minor positieve psychiatrie is verdiepend ten aanzien van verpleegkundige zorg aan cliënten van alle leeftijden met één of meer complexe psychiatrische aandoeningen uitgangpunt van de minor is specialistische zorg vanuit een generiek bewustzijn alle patiëntproblemen op somatisch psychisch functioneel sociaal en existentieel gebied worden gediagnosticeerd en meegenomen in het klinisch redeneren positieve psychiatrie,30,['Breda'],77,NLQF6,,,0.32,0.752,4,47,2025-11-17
202,palliatieve zorg,palliatieve zorg,30,['Breda'],63,NLQF6,,,0.89,0.914,3,47,2025-11-29
203,minor gezond samenleven,gezonde leefstijl staat centraal invloed van de omgeving staat centraal zingeving domeinoverstijgend samenwerken aan levensechte opdrachten van het werkveld zorg en welzijn,30,['Breda'],78,NLQF6,,welzijn samenleving zorg gezonde leefstijl,0.47,0.98,4,56,2025-10-15
204,omdenken anders werken in de zorg,ntb,30,['Breda'],62,NLQF6,,zorg welzijn educatie personeelstekort vitale medewerkers,0.73,0.924,4,60,2025-09-27
205,patronen doorbreken sociale verbinding welzijn,ntb,30,['Breda'],62,NLQF6,,trauma hechting ontwikkeling sociale verbondenheid inclusie,0.5,0.652,2,55,2025-11-12
206,pedagogischdidactische basis voor professonals,met deze module kunnen studenten van verschillende opleidingen een basis pedagogische en didactische basis verkrijgen je leert jouw vakkennis over het voetlicht te brengen aan kinderen en jongvolwassenen in verschillende leeftijden het programma leert jou de basis op de volgende onderwerpen de basis pedagogische en didactische vaardigheden klassenmanagement en het ontwerpen van een lesaanbod pedagogischdidactische basis voor professonals,30,['Breda'],79,NLQF6,,,0.64,0.626,3,46,2025-09-26
207,zorg in de langdurige hulpverlening,hoe het is om te werken met mensen die langdurige hulpverlening nodig hebben je leert methodisch te werken met verschillende doelgroepen zoals mensen met verstandelijke of lichamelijke beperkingen psychiatrische problematiek verslaving enof detentie,15,"['Breda', 'Den Bosch']",61,NLQF5,,hulpverlening zorg psychische problematiek verslaving,0.66,0.312,4,73,2025-10-17
208,welzijn en samenleving,wil je samen met andere disciplines een verschil maken voor de mensen die met ondersteuning kunnen deelnemen aan de samenleving de focus ligt op methodisch en preventief werken rondom themas als armoede zelfzorg werken in de keten en schuldhulpverlening,15,"['Breda', 'Den Bosch']",61,NLQF5,,preventie welzijn samenleving,0.42,0.026,1,36,2025-11-25
209,studeren buitenland,mogelijkheid om een project in het buitenland te doen en daar studiepunten voor te krijgen anders dan stage of onderwijs volgen in het buitenland,30,['Breda'],64,NLQF6,,internationalisering ervaring buitenland sdgs,0.93,0.088,1,28,2025-12-20
223,act for change together nlqf ects,de tussenruimte staat voor trans en interdisciplinair werken om maatschappelijke vraagstukken verder te brengen vanuit cocreatie en de verbinding tussen onderwijs onderzoek dit doen wij ten alle tijden vanuit eigen engagement van de deelnemers studentmedewerkerorganisatiebewoner,30,['Breda'],80,NLQF6,betrokkenheid activeren van en cocreeeren met een community en kritische reflectie je oriënteert je op het thema van brede welvaart en nieuw ondernemerschap en vormt samen een conceptueel model op basis van kennis en ervaringen die je op uiteenlopende wijzen opdoet je presenteert jezelf zowel als persoon als vanuit je eigen discipline je maakt je leerproces inzichtelijk en verbindt jezelf daarmee inhoudelijk en relationeel met anderen uit de community vormt groepen of samenwerkingen op basis van het conceptueel model en jouw persoonlijke motivatie benoem je jouw eigen challenge voor deze module je voert een omgevings en stakeholderanalyse uit je komt in actie en gaat bijvoorbeeld ‘de wijk in’ en in gesprek met mensen die mogelijk een rol kunnen gaan spelen in jouw challenge je creëert ervaringen en laat je inspireren en verdiept je onderzoek naar aanleiding van nieuwe vragen en inzichten je maakt je leerproces inzichtelijk en scherpt je challenge aan je benadert stakeholders actief om een coalition of the willing te vormen met deelnemers uit de community organisaties enof burgers die jouw challenge steunen en zich in willen zetten voor een gezamenlijke ambitie met de coalition of the willing verken je ideeën om invulling te geven aan de ambitie experimenteer of inspireer in het klein met je ideeën om iets tot stand te brengen en impact te kunnen maken kortom in interactie met anderen breng je een beweging op gang je maakt hierbij zelf op creatieve wijze inzichtelijk wat jouw impact is geweest borg dat de beweging die in gang is gezet met de coalition of the willing verder kan gaan zorg voor een goede kennisdeling organiseer vervolgacties en beleg verantwoordelijkheden bij de juiste partners zodat er eigenaarschap wordt gecreëerd je signaleert beperkingen van je eigen kennis en handelingsrepertoire en reflecteert kritisch op vraagstukken en processen uit deze context met als doel de persoonlijke ontwikkeling de samenwerking en interactie met anderen en het eigen aandeel daarin te kunnen onderkennen en bijsturen hiermee draag je bij aan kennisontwikkeling en verspreiding op het gebied van brede welvaart en nieuw ondernemerschap je verantwoord je eigen handelen op basis van bewijsmateriaal en relevante literatuur,persoonlijke ontwikkeling activisme betrokken maatschappelijk samenwerken,0.8,0.402,5,52,2025-10-26
224,biobased technology and business development zie alst,in this international and multidisciplinary minor you will discover the possibilities of biobased technologies business developments and sustainable entrepreneurship the body of the minor consists of a multidisciplinary group project for a client governmental organization or company,30,['Breda'],81,NLQF6,biobased circular chains work on an multidisciplinary group project for a client governmental organization or company that wants to become more sustainable or further develop and implement a biobased andor circular technology to come up with a technical concept and business plan for your client combine marketing finance and technique co neutral cities work for your chosen city with other group members and learn how to make a city climate neutral and how you can convince the people involved to go for your ideas work on a biobased problem for a brazilian company together with brazilian students to learn from and with students from another culture and to come a quick solution in an international environment pressure cooker your world future and purpose explore your qualities talents and personal entrepreneurial desires and preferences to grow to a team both personal and professionally,biobased technologies business developments sustainable entrepreneurship multidisciplinary group project international,0.91,0.116,3,72,2025-12-03
225,avans incubator nlqf ec,avans incubator is de plek waar studenten van welke hogeschoolopleiding dan ook terecht kunnen om hun onderneming te accelereren avans incubator geeft je de kans om je idee om te zetten in een onderneming of om je bestaande ondernemer een ware boost te geven avans incubator is hét startpunt voor ondernemers in het west brabantse startup landschap,30,['Breda'],82,NLQF6,student creert visie en waardepropositie voor organisatie student ontwikkelt onderneming op belangrijkste elementen klant product business case team en financieelimpact ondernemende houding ideeen en kansen middelen en in actie,ondernemen maatwerk groei opstap naar ecosysteem community,0.88,0.052,3,39,2025-12-16
226,digital nomads nlqf ec,het ontwikkelen van digitale skills om te kunnen ondernemen in een snel veranderende wereld aan de hand van de nieuwste techniek en innovatie dit in een internationale setting wens internationale hubs plaats onafhankelijk,30,['Breda'],83,NLQF6,studenten kunnen effectief ondernemende vaardigheden en kennis toepassen om succesvolle bedrijven te starten te beheren en te laten groeien met aandacht voor duurzaamheid en ethiek deze leeruitkomst benadrukt het belang van zowel praktische als conceptuele aspecten van ondernemerschap studenten zullen niet alleen de nodige vaardigheden verwerven om een bedrijf op te zetten en te leiden maar ook begrip ontwikkelen voor duurzaamheidskwesties en ethische overwegingen binnen het ondernemerschapsdomein door deze leeruitkomst te bereiken zullen studenten in staat zijn om op verantwoorde wijze waarde te creëren en bij te dragen aan de economische ontwikkeling,ondernemen reizen innovatie persoonlijk leerplan,0.69,0.362,5,32,2025-11-02
