id,name,description,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
169,Stevig staan in de Jeugdzorg,"Je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld jeugdzorg breed",30,['Den Bosch'],58,NLQF6,toetsvormen zijn beroepsprestaties van een jeugd- en gezinsprofessional en ontwikkeld i.s.m. het jeugdwerkveld.,jeugdhulp en jeugdbescherming gezinnen onder druk kinderen en met uitdagingen in de ontwikkeling jongeren in ontwikkeling preventie pedagogische context versterken,0.31,0.572,3,68,2025-09-04
170,Werken in gedwongen kader,"Je bent 'state of the art' toegerust in kennis, handelingsrepertoire en methodiek voor het werkveld gedwongen kader (PI/ Forensisch, reclassering, Raad)",30,['Den Bosch'],58,NLQF6,leeruitkomsten zijn afgestemd op landelijk netwerk wigk,herstelgerichte benadering transmuraal herstel positionering en engagement in een complexe omgeving macht en dwang motivationele theorieen,0.93,0.626,5,33,2025-12-13
171,Technologie in zorg en welzijn,"Een belangrijk vraagstuk voor de hedendaagse professionals is ‘Hoe kunnen we mensen meer (of beter) laten meedoen in de maatschappij en minder afhankelijk laten zijn van professionals?’ Want één van de uitdagingen in zorg en welzijn is het tekort aan personeel én financiële middelen. 
Met behulp van technologie kunnen hierin stappen gemaakt worden. Maar zijn alle technologieën ook daadwerkelijk geschikt? De tool moet tenslotte niet het doel zijn. We denken na over ethische vraagstukken en hebben invloed op veranderprocessen. Aandacht voor Positieve Gezondheid in de brede betekenis.",30,['Den Bosch'],58,NLQF6,,technologie zorg welzijn,0.84,0.826,1,34,2025-09-04
172,Zorg dichtbij,Met 'zorg op afstand' kan je met behulp van technologie zorg juist dichter bij de mensen thuis brengen. In deze praktijkgerichte module leer je hoe je een nieuwe werkwijze en technologie implementeert en hoe je zorgmedewerkers en patiënten mee kan nemen in deze verandering.,15,['Breda'],60,NLQF5,je hebt ervaren wat er komt kijken bij het implementeren van een innovatie in de praktijk en hebt kennis van processen en technologieën voor het organiseren van ‘zorg op afstand’.,zorg op afstand technologie implementeren zorg veranderkunde,0.44,0.786,5,50,2025-10-26
173,Langer thuis in de wijk,"In Nederland willen we mensen zo lang mogelijk, dus ook op hogere leeftijd of met een chronische aandoening of een beperking, thuis te laten wonen. Hoe kunnen we met behulp van slimme oplossingen en samenwerkingen ervoor zorgen dat mensen prettig en veilig in hun eigen omgeving kunnen blijven?",15,['Breda'],60,NLQF5,"je hebt een beeld van wijkgerichte zorg en ondersteuning, kent de bijbehorende stakeholders en infrastructuur en kan voorstellen doen om het systeem rondom de doelgroep te versterken en verbeteren.",wijkgericht werken eigen regie zorg welzijn ouderen,0.42,0.802,4,20,2025-09-25
174,Mensgericht ontwerpen,In zorg en welzijn hebben we te maken met een grote diversiteit aan zorgvragers én -verleners. Soms blijkt dat zorgtechnologieën (en diensten) nog beter afgestemd kunnen worden op de doelgroep. In deze module ga je een product of service (her)ontwerpen om daarmee de toegankelijkheid en gebruikservaring te verbeteren.,15,['Breda'],60,NLQF5,je beheerst een aanpak en technieken om producten en diensten te (her)ontwerpen en daarmee mensgerichte zorg en ondersteuning te bevorderen.,design thinking service design technolgie uxdesign doelgroep,0.42,0.288,5,72,2025-11-06
175,Focus op jeugd,In deze module leer je hoe je methodisch kunt werken met jeugdigen en gezinnen. Op deze manier bereid je je voor op het werken met gezinnen die ondersteuning krijgen in de jeugdhulpverlening.,15,"['Breda', 'Den Bosch']",61,NLQF5,,jeugd hulpverlening,0.5,0.408,1,73,2025-12-05
176,Technologie die ècht werkt: innovatie in zorg en welzijn,"Hoe kan technologie de beloftes waarmaken en écht zorgen voor betere en betaalbare zorg en ondersteuning? Effectief samenwerken tussen zorg- welzijnsprofessionals, ontwerpers, technici en ict-ers is daarbij heel belangrijk. In deze praktijkgerichte module draag je in een multidisciplinair team vanuit je eigen vakgebied bij aan een echte innovatie.",15,['Breda'],62,NLQF5,"na deze module heb je een dieper inzicht in het werk van professionals uit andere sectoren, die nodig zijn om de inzet van technologie in zorg en welzijn echt succesvol te maken. jouw verbrede perspectief zal je helpen om vanuit jouw eigen vakgebied bij te dragen aan innovatie in zorg en welzijn.",technologie smart health robotica zorg welzijn,0.64,0.82,4,73,2025-11-06
177,Patronen doorbreken: basis,"In deze module leer je over gezonde versus verstoorde hechting en trauma, welke impact dat kan hebben op gedrag, emoties en ontwikkeling en hoe jij als professional de signalen van een verstoorde hechting kan herkennen en erop inspelen.",15,"['Breda', 'Den Bosch']",62,NLQF5,"vanuit jouw kennis over hechting, trauma en ontwikkeling herken je signalen van een verstoorde hechting die verdere ontwikkeling bemoeilijken en heb je aanknopingspunten om de ander verder te kunnen helpen.",hechting trauma ontwikkeling hulpverlening veiligheid,0.58,0.274,5,22,2025-09-27
178,Oncologie,"Deze verdiepende module gaat in op uiteenlopende aspecten die je binnen de oncologische zorg. We zorgen voor veel inbreng vanuit de dagelijkse praktijk door inzet van gastdocenten en excursies. Na deze module heb je uitgebreide inhoudelijke kennis over oncologische ziektebeelden, kun je klinisch redeneren bij kanker. Daarnaast leer je over de psychosociale gevolgen van de ziekte en wat voor begeleiding dit vraagt van zorgvragers en hun naasten. Oncologie",15,['Breda'],63,NLQF5,,,0.49,0.084,4,35,2025-12-02
179,Pro-active nursing,"Ontwikkel een diepgaand begrip van klinisch redeneren in onze HBO-Verpleegkunde module Pro-Active Nursing. Leer anticiperen op zorgbehoeften door doordachte analyse en gezamenlijke, eenduidige klinische besluitvorming. Kom tot een professionele beoordeling van hoe het gaat met de zorgvrager en maak de klinische toestand inzichtelijk. Pro-active nursing",15,['Breda'],63,NLQF5,,,0.7,0.37,2,42,2025-10-02
180,Jongeren en actuele problematiek,"Maak impact daar waar het meest nodig is, met een focus op vroegtijdige signalering en begeleiding van jongeren met actuele problematiek. Te denken valt aan thema’s zoals mentale gezondheid, gezinsproblematiek, gedrag- en houdingsaspecten en huiselijk geweld. Jongeren en actuele problematiek",15,['Breda'],63,NLQF5,,,0.39,0.938,2,76,2025-10-20
181,Management in de zorg,"Bij de keuzemodule Management in de Zorg leer je over organisatie-, personeels- en kwaliteitsmanagement in de zorgsector. Ook strategisch management, kwaliteitsmanagement en ondernemen in de zorg komen aan bod. Praktische vaardigheden zoals communiceren en presenteren worden ook behandeld, evenals het bevorderen van samenwerking tussen betrokkenen, afdelingen en organisaties. Management in de zorg",15,['Breda'],63,NLQF5,,,0.49,0.904,5,30,2025-10-31
182,Werken vanuit je doelgroep,"Verdiep je in in een specifieke doelgroep naar keuze, bijvoorbeeld mensen met een verstandelijke beperking, dementerenden of kinderen. Je leert hoe je in samenwerking met andere disciplines zorg en ondersteuning kan organiseren vanuit het perspectief van de doelgroep.",15,['Breda'],62,NLQF5,je leert wat er nodig is om als professionals met verschillende achtergronden effectief te kunnen samenwerken in het belang van de doelgroep.,doelgroep zorg welzijn interdisciplinair samenwerken inclusie,0.54,0.76,4,31,2025-10-21
183,Leefstijl en preventie,Wanneer heb je een gezonde leefstijl? Hoe draagt voeding en beweging bij aan zowel mentale als fysieke gezondheid? Onderga zelf een leefstijlverandering en leer hoe jij als professional de leefstijl van anderen positief kunt beïnvloeden.,15,['Breda'],62,NLQF5,je leert en ervaart in een interdisciplinair team wat positieve gezondheid is en hoe je impact kunt maken door anderen positief te stimuleren om hun leefstijl te veranderen en daarmee gezond te blijven.,leefstijl preventie positieve gezondheid beweging gedragsverandering,0.6,0.958,1,29,2025-09-19
184,Going global: internationaal perspectief op je toekomst,"Je onderneemt een stage of internationaal project naar keuze (in het buitenland of dicht bij huis), leert over interculturele verschillen en interculturele communicatie en krijgt daarmee een rijkere kijk op je beroep en je ontwikkeling.",15,"['Breda', 'Den Bosch']",62,NLQF5,"je verbreedt je perspectief (multiperspectiviteit) en krijgt daarmee een rijkere kijk op je toekomstige beroep, beroepsvisie en ontwikkeling.",globalisering interculturele communicatie gezondheid welzijn verdieping interculturele competenties,0.81,0.768,5,51,2025-09-21
185,Innoveren in zorg en welzijn,"Innoveren in zorg en welzijn middels inzet van technologie over de hele breedte: innovatiekansen definiëren, systeem-/service design en gebruikservaring rondom technologieën, implementatie",30,['Breda'],60,NLQF6,"leiden van een (technologische) innovatie in zorg en welzijn, praktijkgericht onderzoek, persoonlijke en professionele ontwikkeling",innoveren zorgtechnologie implementeren ontwerpen gezondheid,0.43,0.062,2,35,2025-09-05
186,Child-centered work,ter vervanging van minor criminal justice & social work,15,['Breda'],64,NLQF6,"je leert hoe je vanuit de eigen deskundigheid een bijdrage kunt leveren aan de totale ontwikkeling van een kind, daarbij krijg je kennis van alle gebieden (motorisch, cognitief, sociaal en emotioneel) die van belang zijn voor de ontwikkeling van een kind en de bijhorende ketenpartners. dit wordt gedaan in co-creatie met professionals vanuit justitie, veiligheid, zorg en welzijn",kind centraal werken vanuit perspectieven,0.63,0.494,2,27,2025-11-21
187,Safety en society,ter vervanging van minor criminal justice & social work,15,['Breda'],64,NLQF6,"je leert te kijken naar veiligheid op sociaal, fysiek en mentaal vlak en de daarbij behorende theoretische perspectieven (criminologie, psychologie, desistance theorieën, e.d), gespreksvaardigheden en modellen een bijdrage te leveren aan een veilige maatschappij op veschillende niveaus.  je leert het werkdomein van het forensisch kader kennen en daarin te acteren als professional.",veiligheid welzijn ketensamenwerking justitie en zorg,0.69,0.334,5,57,2025-12-01
188,Musculoskeletaal Wervelkolom en Sport,"Verdiepende minor in de fysiotherapie op het gebied van musculoskeletale problematiek, waarbij er een keuze wordt gemaakt voor de tak wervelkolom of sport.
KOM minor.",30,['Breda'],65,NLQF6,,fysiotherapie muskuloskeletale problematiek,0.33,0.094,4,31,2025-10-12
189,Kinderfysiotherapie,Verdiepende minor in de fysiotherapie op het gebied van kinderfysiotherapie. Internationaal.,30,['Breda'],66,NLQF6,,jeugd internationalisering,0.69,0.478,2,43,2025-10-31
190,Healthcare Innovation Design,"Deze module richt zich op (product)ontwerpvraagstukken binnen zorg en welzijn. Wil je design thinking, design sprints en maker skills leren en toepassen in ontwerpvragen in zorg en welzijn? Dan ben je welkom bij de minor Healthcare Innovation Design! In 20 weken ontwerpen we in co-creatie met bedrijven, designers en zorg- en welzijnsinstellingen tastbare en testbare creatieve producten en diensten. (product)ontwerpvraagstukken binnen zorg en welzijn.",30,['Breda'],67,NLQF6,,zorg welzijn productontwerp,0.41,0.748,4,47,2025-09-22
191,De Kracht van de kunsten,"Leren van kunst, niet over kunst. Door te doen, door met mensen in contact te zijn. Impact maken. Geraakt worden. Groeien als persoon en professioneel. Leren artistiek onderzoek te doen. Achter de schermen kijken in het theater, Art Based Learning met beelden, musiceren en /of een film maken, spelen (drama), lezen en zelf schrijven. Koppelen aan je toekomstige werk met dementerenden, jongeren, kinderen. Leren van kunst, niet over kunst. Door te doen, door met mensen in contact te zijn. Impact maken. Geraakt worden. Groeien als persoon en professioneel. Leren artistiek onderzoek te doen. Daar gaan we voor in deze Module. Achter de schermen kijken in het theater, Art Based Learning met beelden, musiceren en /of een film maken, spelen (drama), lezen en zelf schrijven. Koppelen aan je toekomstige werk met dementerenden, jongeren, kinderen. Tijd nemen om te ontdekken, tijd om te verbeelden, tijd om te spelen.",30,['Breda'],68,NLQF6,,beeldende kunst muziek drama literatuur digitale media persoonlijke en professionele identiteit art based learning,0.34,0.12,2,72,2025-09-21
192,Bewegingsonderwijs,Tijdens de minor bewegingsonderwijs behaalt de student de bevoegdheid tot het geven van de lessen bewegingsonderwijs aan de groepen 3 t/m 8 van de basisschool,30,['Breda'],69,NLQF6,,bewegingsonderwijs basisschool,0.92,0.894,2,27,2025-11-09
193,Gedrag,"De minor Gedrag bestaat uit (gast-)lessen (bv. orthopedagogiek), trainingen (Sterk Staan) en stage in het (speciaal) basisonderwijs, waar het gedrag van de leerlingen impact heeft op het handelen van de leerkracht. De verbinding van lesgeefpraktijk op de stageschool en aangeboden kennis en vaardigheid op de PABO staan daarbij voorop.",30,['Breda'],70,NLQF6,,,0.93,0.546,3,77,2025-09-01
194,Teaching English Abroad,"Deze internationale module bestaat uit twee delen: in het eerste deel gaan studenten van Avans en vanuit onze internationale partners, in multidisciplinaire setting aan de slag om te leren over verschillende schoolsytemen, curricula, didactiek, kunstvakken en een kennismakingsstage. Deel 2 staat in teken van stage lopen en praktijkonderzoek doen. Teaching English Abroad",30,['Breda'],68,NLQF6,,,0.83,0.584,2,47,2025-09-05
195,Stevig staan in de jeugdzorg,Het gehele jeugdhulpwerkveld van de jeugdzorg wordt hier behandeld met bijbehorende competenties. Dit is een verplichte minor voor profiel Zorg en Welzijn & Samenleving als zij in de jeugdhulp willen werken. De minor is ontwikkeld met het werkveld.,30,['Breda'],71,NLQF6,,jeugd zorg welzijn samenleving,0.5,0.072,1,55,2025-12-14
196,GGZ agoog,Het werkveld van de GGZ staat hier centraal. Deze minor is verplicht om een GGZ registratie te halen binnen profiel Zorg. In dit profiel gaat het o.a. om het optimaal sociaal functioneren van mensen met een verstandelijke beperking of psychische kwetsbaarheid. Hun aandoeningen en beperkingen worden herkend en waar nodig worden zij ondersteund. Het werkveld van de GGZ staat hier centraal. Deze minor is verplicht om een GGZ registratie te halen binnen profiel Zorg.,30,['Breda'],72,NLQF6,,ggz,0.36,0.47,5,45,2025-09-12
197,Werken in gedwongen kader,"De minor WIGK bereidt studenten voor op het werken met mensen (volwassenen, jongeren) die grensoverschrijdend gedrag vertonen, dat schadelijk is voor hen zelf en voor hun omgeving. Probleemgedrag gaat vaak gepaard met (soms ernstige) sociale, emotionele, materiële problemen en bereikt een niveau dat justitieel ingrijpen noodzakelijk wordt.  De minor heeft een eigen landelijk profiel. Er wordt samengewerkt met het werkveld op basis van het landelijk curriculum.",30,['Breda'],73,NLQF6,,,0.74,0.572,5,27,2025-11-29
198,Minor Verschil maken,"Een minor open voor sociale opleidingen waarin de vraag centraal staat hoe de professional binnen zijn praktijk verschil maakt. Door presentie- en schematheorie, filosofie en een exposure wordt de basis gelegd voor zelfkennis, zelfbewustzijn en praktische wijsheid om een maatschappelijke droom te verwezenlijken",30,['Breda'],74,NLQF6,,welzijn samenleving professional,0.59,0.59,4,77,2025-10-16
199,Acuut Complexe Zorg,"In de minor ACZ ga je je verdiepen in een aantal acute en complexe casussen. In deze casuïstiek staan diverse specialismen centraal. Het interessante van de minor ACZ is, dat je jezelf aan de hand van deze casuïstiek verdiept in de klinische zorg. Acuut Complexe Zorg; verdiepende minor gericht op verpleegkunde studenten",30,['Breda'],75,NLQF6,,zorg welzijn acute zorg,0.38,0.212,2,79,2025-10-04
200,"Kind, Kraam, Jeugd","Binnen de minor Kraam, Kind, Jeugd (KKJ) staat de zorg aan zwangeren, kraamvrouwen en kinderen van 0-18 jaar met hun ouders centraal. Het is een verdiepende minor waarin onderwerpen aan bod komen vanuit de expertisegebieden van de kinderverpleegkundige, de obstetrieverpleegkundige en de jeugdverpleegkundige. Doel van de minor is het ontwikkelen van een generieke blik op het kind en diens systeem. Kraam, kind en jeugdigen; verdiepende minor gericht op verpleegkunde studenten",30,['Breda'],76,NLQF6,,jeugd welzijn,0.62,0.586,1,69,2025-10-19
201,Positieve psychiatrie,"De minor Positieve Psychiatrie is verdiepend ten aanzien van verpleegkundige zorg aan cliënten van alle leeftijden met één of meer complexe psychiatrische aandoeningen. Uitgangpunt van de minor is specialistische zorg vanuit een generiek bewustzijn: alle patiëntproblemen op somatisch, psychisch, functioneel, sociaal en existentieel gebied worden gediagnosticeerd en meegenomen in het klinisch redeneren.  Positieve psychiatrie",30,['Breda'],77,NLQF6,,,0.32,0.752,4,47,2025-11-17
202,Palliatieve zorg,Palliatieve zorg,30,['Breda'],63,NLQF6,,,0.89,0.914,3,47,2025-11-29
203,Minor Gezond samenleven,"Gezonde leefstijl staat centraal, invloed van de omgeving staat centraal, zingeving. Domeinoverstijgend samenwerken aan levensechte opdrachten van het werkveld zorg en welzijn.",30,['Breda'],78,NLQF6,,welzijn samenleving zorg gezonde leefstijl,0.47,0.98,4,56,2025-10-15
204,Omdenken: anders werken in de zorg,ntb,30,['Breda'],62,NLQF6,,zorg welzijn educatie personeelstekort vitale medewerkers,0.73,0.924,4,60,2025-09-27
205,Patronen doorbreken / sociale verbinding & welzijn,ntb,30,['Breda'],62,NLQF6,,trauma hechting ontwikkeling sociale verbondenheid inclusie,0.5,0.652,2,55,2025-11-12
206,Pedagogisch/didactische basis voor professonals,"Met deze module kunnen studenten van verschillende opleidingen een basis pedagogische en didactische basis verkrijgen. Je leert jouw vakkennis over het voetlicht te brengen aan kinderen en jongvolwassenen in verschillende leeftijden. Het programma leert jou de basis op de volgende onderwerpen de basis pedagogische en didactische vaardigheden, klassenmanagement en het ontwerpen van een 'lesaanbod'. Pedagogisch/didactische basis voor professonals",30,['Breda'],79,NLQF6,,,0.64,0.626,3,46,2025-09-26
207,Zorg in de langdurige hulpverlening,"Hoe het is om te werken met mensen die langdurige hulpverlening nodig hebben? Je leert methodisch te werken met verschillende doelgroepen, zoals mensen met verstandelijke of lichamelijke beperkingen, psychiatrische problematiek, verslaving en/of detentie.",15,"['Breda', 'Den Bosch']",61,NLQF5,,hulpverlening zorg psychische problematiek verslaving,0.66,0.312,4,73,2025-10-17
208,Welzijn en samenleving,"Wil je (samen met andere disciplines) een verschil maken voor de mensen die met ondersteuning kunnen deelnemen aan de samenleving? De focus ligt op methodisch en preventief werken rondom thema's als armoede, zelfzorg, werken in de keten en schuldhulpverlening.",15,"['Breda', 'Den Bosch']",61,NLQF5,,preventie welzijn samenleving,0.42,0.026,1,36,2025-11-25
209,Studeren buitenland,Mogelijkheid om een project in het buitenland te doen en daar studiepunten voor te krijgen (anders dan stage of onderwijs volgen in het buitenland),30,['Breda'],64,NLQF6,,internationalisering ervaring buitenland sdgs,0.93,0.088,1,28,2025-12-20
223,Act For Change Together NLQF6 30 + 15 ECTS,De Tussenruimte staat voor (1) trans- en interdisciplinair werken om (2) maatschappelijke vraagstukken verder te brengen vanuit co-creatie en (3) de verbinding tussen onderwijs & onderzoek. Dit doen wij ten alle tijden vanuit (4) eigen engagement van de deelnemers (student/medewerker/organisatie/bewoner).,30,['Breda'],80,NLQF6,"betrokkenheid, activeren van en co-creeeren met een community, en kritische reflectie. je oriënteert je op het thema van brede welvaart en nieuw ondernemerschap en vormt samen een conceptueel model op basis van kennis en ervaringen die je op uiteenlopende wijzen opdoet. je presenteert jezelf zowel als persoon als vanuit je eigen discipline. je maakt je leerproces inzichtelijk en verbindt jezelf daarmee inhoudelijk en relationeel met anderen uit de community (vormt groepen of samenwerkingen). op basis van het conceptueel model en jouw persoonlijke motivatie benoem je jouw eigen challenge voor deze module. je voert een omgevings- en stakeholderanalyse uit. je komt in actie en gaat bijvoorbeeld ‘de wijk in’ en in gesprek met mensen die mogelijk een rol kunnen gaan spelen in jouw challenge. je creëert ervaringen en laat je inspireren en verdiept je onderzoek naar aanleiding van nieuwe vragen en inzichten. je maakt je leerproces inzichtelijk en scherpt je challenge aan. je benadert stakeholders actief om een coalition of the willing te vormen met deelnemers uit de community, organisaties en/of burgers, die jouw challenge steunen en zich in willen zetten voor een gezamenlijke ambitie. met de coalition of the willing verken je ideeën om invulling te geven aan de ambitie. experimenteer of inspireer in het klein met je ideeën om iets tot stand te brengen en impact te kunnen maken. kortom in interactie met anderen breng je een beweging op gang. je maakt hierbij zelf op creatieve wijze inzichtelijk wat jouw impact is geweest.  borg dat de beweging die in gang is gezet met de coalition of the willing, verder kan gaan. zorg voor een goede kennisdeling, organiseer vervolgacties en beleg verantwoordelijkheden bij de juiste partners, zodat er eigenaarschap wordt gecreëerd. je signaleert beperkingen van je eigen kennis en handelingsrepertoire en reflecteert kritisch op vraagstukken en processen uit deze context met als doel: de persoonlijke ontwikkeling, de samenwerking en interactie met anderen en het eigen aandeel daarin te kunnen onderkennen en bijsturen. hiermee draag je bij aan kennisontwikkeling en verspreiding op het gebied van brede welvaart en nieuw ondernemerschap. je verantwoord je eigen handelen op basis van bewijsmateriaal en relevante literatuur.",persoonlijke ontwikkeling activisme betrokken maatschappelijk samenwerken,0.8,0.402,5,52,2025-10-26
224,Biobased Technology and Business Development. Zie ALST,"In this international and multidisciplinary minor, you will discover the possibilities of biobased technologies, business developments and sustainable entrepreneurship. The body of the minor consists of a multidisciplinary group project for a client (governmental organization or company).",30,['Breda'],81,NLQF6,"""(biobased) circular chains: work on an multidisciplinary group project for a client (governmental organization or company) that wants to become more sustainable or (further) develop and implement a biobased and/or circular technology to come up with a technical concept and business plan for your client (combine: marketing, finance and technique). co2 neutral cities: work for your chosen city with other group members and learn how to make a city climate neutral and how you can convince the people involved to go for your ideas. work on a biobased problem for a brazilian company together with brazilian students to learn from and with students from another culture and to come a quick solution in an international environment (pressure cooker). your world, future and purpose: explore your qualities, talents and personal entrepreneurial desires and preferences to grow to a team, both personal and professionally.""",biobased technologies business developments sustainable entrepreneurship multidisciplinary group project international,0.91,0.116,3,72,2025-12-03
